,date,headlines,ticker,company
160,Buy GAIL; target of Rs 147: Motilal Oswal,"Motilal Oswal is bullish on GAIL recommended buy rating on the stock with a target price of Rs 147 in its research report dated March 26, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
161,Buy Federal Bank; target of Rs 170: Motilal Oswal,"Motilal Oswal is bullish on Federal Bank recommended buy rating on the stock with a target price of Rs 170 in its research report dated February 28, 2023.",BANKBARODA,Bank of Baroda
162,Buy Aurobindo Pharma; target of Rs 554: Geojit,"Geojit is bullish on Aurobindo Pharma has recommended buy rating on the stock with a target price of Rs 554 in its research report dated March 02, 2023.",AUROPHARMA,Aurobindo Pharma Limited
163,Buy Finolex Cables; target of Rs 660: Sharekhan,"Sharekhan is bullish on Finolex Cables has recommended buy rating on the stock with a target price of Rs 660 in its research report dated February 13, 2023.",FINCABLES,Finolex Cables Limited
164,Buy Tata Motors; target of Rs 540: Motilal Oswal,"Motilal Oswal is bullish on Tata Motors recommended buy rating on the stock with a target price of Rs 540 in its research report dated March 15, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
165,Buy PNC Infratech; target of Rs 390: Sharekhan,"Sharekhan is bullish on PNC Infratech has recommended buy rating on the stock with a target price of Rs 390 in its research report dated March 10, 2023.",PNCINFRA,PNC Infratech Limited
166,Buy Vinati organics; target of Rs 2148: Geojit,"Geojit is bullish on Vinati organics has recommended buy rating on the stock with a target price of Rs 2148 in its research report dated March 22, 2023.",GEOJITFSL,Geojit Financial Services Limited
167,Buy Eicher Motors; target of Rs 3625: Motilal Oswal,"Motilal Oswal is bullish on Eicher Motors recommended buy rating on the stock with a target price of Rs 3625 in its research report dated March 23, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
170,Buy Tata Chemicals; target of Rs 1197: Geojit,"Geojit is bullish on Tata Chemicals has recommended buy rating on the stock with a target price of Rs 1197 in its research report dated March 06, 2023.",GEOJITFSL,Geojit Financial Services Limited
171,Buy Vesuvius India; target of Rs 1935: ICICI Direct,"ICICI Direct is bullish on Vesuvius India recommended buy rating on the stock with a target price of Rs 1935 in its research report dated March 01, 2023.",ICICIBANK,ICICI Bank Limited
172,Buy Axis Bank; target of Rs 1100: ICICI Direct,"ICICI Direct is bullish on Axis Bank recommended buy rating on the stock with a target price of Rs 1100 in its research report dated March 02, 2023.",AXISBANK,Axis Bank Limited
173,"Buy Bosch; target of Rs 20,970: ICICI Direct","ICICI Direct is bullish on Bosch recommended buy rating on the stock with a target price of Rs 20,970 in its research report dated March 13, 2023.",BOSCHLTD,Bosch Limited
174,"Buy Bosch; target of Rs 19,795: Sharekhan","Sharekhan is bullish on Bosch has recommended buy rating on the stock with a target price of Rs 19,795 in its research report dated February 15, 2023.",BOSCHLTD,Bosch Limited
175,Buy Castrol India; target of Rs 140: Sharekhan,"Sharekhan is bullish on Castrol India has recommended buy rating on the stock with a target price of Rs 140 in its research report dated February 13, 2023.",CASTROLIND,Castrol India Limited
176,Buy Craftsman Automation; target of Rs 3925: Motilal Oswal,"Motilal Oswal is bullish on Craftsman Automation recommended buy rating on the stock with a target price of Rs 3925 in its research report dated March 23, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
177,Buy Coal India; target of Rs 275: Motilal Oswal,"Motilal Oswal is bullish on Coal India recommended buy rating on the stock with a target price of Rs 275 in its research report dated March 24, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
178,"Hot Stocks | Bet on Aditya Birla Capital, Varun Beverages, Strides Pharma Science for short term","Varun Beverages has retested the falling trend line on the daily chart before going higher. On the higher end, the index has found resistance at the 14DMA (Rs 1,334.65) during the day#39;s trade on March 22.",VBL,Varun Beverages Limited
179,"Trade Spotlight | What#39;s your strategy for Manappuram Finance, Torrent Power, Emami today?","Torrent Power shares rallied 5 percent to Rs 511, after downtrend from Rs 550 on March 17 till Rs 487 on March 27. The stock has formed robust bullish candlestick pattern on the daily scale with above average volumes. In a single day rally, it clawed back abo…",ANDHRSUGAR,The Andhra Sugars Limited
180,"Trade Spotlight | Your strategy for Adani Green Energy, Swan Energy, JBM Auto today","Adani Green Energy was locked in 5 percent upper circuit for eighth consecutive session after taking support at around Rs 439 on February 28. The stock closed at Rs 682.7, rising 55 percent in last eight sessions in a row, and the volume on last Friday was ab…",ANDHRSUGAR,The Andhra Sugars Limited
183,"Trade Spotlight | How to trade in Glenmark Pharma, PNB Housing Finance, Triveni Engineering today","PNB Housing Finance has formed long bearish candlestick pattern on the daily scale after breaking down bearish Flag and Pole pattern, generally indicating may be more weakness going ahead. Further it has decisively fallen below 200-day EMA (Rs 481) as well, t…",HDFC,Housing Development Finance Corporation Limited
188,NTPC shares rise 2% as Morgan Stanley sees 14% upside,Morgan Stanley has an overweight rating on shares of NTPC with a target price of Rs 198.,NTPC,NTPC Limited
189,"Bajaj Finance assets growth to slow down, says Ambit Capital, starts #39;sell#39; rating","One potential solution for Bajaj Finance could be to obtain a banking license, said Ambit Capital, but this would likely result in a compression of RoE to around 15 percent",BAJAJ-AUTO,Bajaj Auto Limited
190,"Hot Stocks | Coromandel International, NTPC, Oil India may fetch up to 15% return in short term","Primary trend of OIl India is bullish as it has been trading above its 50, 100 and 200-day EMA. For last couple of weeks, stock is consolidating in the narrow range with lower volumes.",IMPAL,India Motor Parts and Accessories Limited
191,"Trade Spotlight | What should you do with Manappuram Finance, CCL Products, RITES today?","RITES was also in action, rising 5.7 percent to Rs 371 and formed strong bullish candle on the daily timeframe with above average volumes. The stock held above all key moving averages since the breaking out of long downward sloping resistance trendline adjoin…",ANDHRSUGAR,The Andhra Sugars Limited
193,"Trade Spotlight | How you should trade in CSB Bank, HDFC AMC, HDFC Life today","HDFC AMC shares rallied 5 percent, the biggest single day gains August 16 last year, to close at Rs 1,764 and formed long bullish candle on the daily charts with above average volumes.",HDFCBANK,HDFC Bank Limited
194,UTI Asset Management shares surge 5% after PPFAS MF block deal,The jump in share price was also supported by strong volumes.,ANDHRSUGAR,The Andhra Sugars Limited
196,Emami approves Rs 186-crore buyback plan at Rs 450 a share,The buyback price of Rs 450 a share is over 23 percent higher than the last closing price,ANDHRSUGAR,The Andhra Sugars Limited
197,Olectra Greentech stock gains on bagging electric buses order,"The value of these orders would be approximately Rs 1,000 crore for Olectra.",ANDHRSUGAR,The Andhra Sugars Limited
198,LT stock gains on bagging major orders for Hydrocarbon business,Larsen &amp; Toubro (L&amp;T) bagged major offshore orders from a prestigious overseas client for its hydrocarbon business.,LT,Larsen & Toubro Limited
199,Sebi speeds up action against social media stock tips: Sources,"The regulator#39;s action, which follow four earlier orders passed in the past twelve months, aim to signal growing concern that retail investors are being lured into stock market investments by companies and individuals who are not authorised to offer finance…",ANDHRSUGAR,The Andhra Sugars Limited
201,Anupam Rasayan stock gains on bagging Rs 984-crore order,The firm has  signed a $120-million (Rs 984-crore) letter of intent with a leading Japanese chemical company for supplying new-age advance intermediate for life science active ingredient,ANDHRSUGAR,The Andhra Sugars Limited
204,Hindustan Zinc crashes 10% as stock trades ex-dividend,"With its fourth dividend payout, Hindustan Zinc has declared its highest-ever dividend of Rs 32,000 crore for FY 23.",HCC,Hindustan Construction Company Limited
205,"Asia wary, US stock futures up on SVB reports",Helping nerves were reports First Citizens BancShares Inc was in advanced talks to acquire Silicon Valley Bank from the Federal Deposit Insurance Corp.,BANKBARODA,Bank of Baroda
207,First Republic shares tumble again as liquidity fears linger,The bank#39;s stock fell as much as 50% and closed at $12.18 after the New York Stock Exchange halted it several times due to volatility.,ANDHRSUGAR,The Andhra Sugars Limited
208,"Hindalco Industries cracks 5%, experts see more pain ahead","The stock has fallen 24 percent since January 2023 highs. Experts see the possibility of the stock touching the lows of September at around Rs 359, another 6-odd percent correction from current levels",ANDHRSUGAR,The Andhra Sugars Limited
209,Know your stock | Is there a glimmer of hope for SeQuent Scientific?,"The stock has witnessed a consistent decline since testing its record high in July 2021. Since then, the stock has plunged around 76% on the back of declining profits.",ANDHRSUGAR,The Andhra Sugars Limited
210,"Hot Stocks | KPIT Technologies, SRF, NCC may fetch 13% return in short term","KPIT Technologies is currently trading at its record high, this illustrates that the stock already is in strong momentum. The stock has already shown a breakout of the Cup &amp; Handle pattern which indicated continuation of prior uptrend.",ANDHRSUGAR,The Andhra Sugars Limited
211,"Hot Stocks | TD Power Systems, Religare Enterprises, Indraprastha Gas may fetch healthy returns",TD Power Systems has broken out from the symmetrical triangle on the daily chart with higher volumes. Primary and intermediate trend of the stock is positive as stock price is trading above its medium and long term important moving averages.,PFC,Power Finance Corporation Limited
212,SeQuent Scientific zooms 14% on terminating Tineta Pharma acquisition,The stock has corrected over 79.4 percent from its lifetime highs tested in July 2021.,ANDHRSUGAR,The Andhra Sugars Limited
213,IndusInd Bank shares tumble 3% post large deal,The stock has corrected around 13 percent in the past week.,ANDHRSUGAR,The Andhra Sugars Limited
214,Adani bonds still shaken even as $153 billion stock rout eases,The stock-market abyss that the ports-to-power conglomerate remains in and uncertainties over credit ratings continue to fan worries about its access to funds following a short seller attack.,ANDHRSUGAR,The Andhra Sugars Limited
215,Oil near flat as US crude stock draw contends with economic concerns,"Brent crude futures had edged higher by 5 cents to $82.71 per barrel by 0103 GMT, while U.S. West Texas Intermediate (WTI) crude futures gained 5 cents to $76.71 a barrel.",WSTCSTPAPR,West Coast Paper Mills Limited
216,NBCC stock price rises over 3% after bagging orders worth Rs 230 cr,"The central public sector enterprise under the Ministry of Housing and Urban Affairs received work orders worth Rs 229.81 crore, from Indian Institute of Foreign Trade. The civil construction company will construct new campus for IIFT in Kakinada.",ANDHRSUGAR,The Andhra Sugars Limited
217,"PNB calls off divestment in Canara HSBC Life Insurance, stock gains 3%","Punjab National Bank said it would hold its stake in Canara HSBC Life as an investor, subject to regulatory approvals.",BANKBARODA,Bank of Baroda
218,Stock Market Today: Top 10 things to know before the market opens today,Stock Market News: Trends in the SGX Nifty indicate a negative opening for the broader index in India on Wednesday in sync with the Wall Street ending in the red and Asian markets trading lower,AHLEAST,Asian Hotels (East) Limited
219,Natco Pharma stock up for second day on share buyback plan,The board of directors will on March 8 consider a proposal for the buyback of fully paid-up equity shares of the company of face value of Rs 2 each,ANDHRSUGAR,The Andhra Sugars Limited
221,Stock Market Today: Top 10 things to know before the market opens today,"In the previous session, the BSE Sensex declined 344 points to settle at 57,556, while the Nifty 50 closed below psychological 17,000 mark, falling 71 points to 16,972",BSE,BSE Limited
225,Stock Market Today: Top 10 things to know before the market opens,Stock Market Today: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 66.50 points in step with the Wall Street ending marginally up and Asian markets trading in gains,AHLEAST,Asian Hotels (East) Limited
227,Stock Market Today: Top 10 things to know before the market opens today,Stock Market News: Trends in the SGX Nifty indicate a flat opening for the broader index in India amid US markets eking out small uptick and Asian peers edging up,AHLEAST,Asian Hotels (East) Limited
228,Stock Market Today: Top 10 things to know before the market opens today,Trends in the SGX Nifty indicate a flat to negative opening for the broader index in India with a loss of 49.50 points on Monday in sync with a steep fall in the US markets and most Asian peers trading in the red,AHLEAST,Asian Hotels (East) Limited
230,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a gap-up opening for the broader index in India on Friday after multiple block deals in Adani Group companies, FIIs setting out on a buying binge, and a rally in US stocks and in peer Asian markets",AHLEAST,Asian Hotels (East) Limited
231,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 92 points on Wednesday, ending four straight sessions of downturn. The US markets rebounded on better macros and Asian indices traded in the g…",AHLEAST,Asian Hotels (East) Limited
233,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a positive opening for the broader index in India on Monday, continuing the bullish trend of the last trading session. Asian markets traded upbeat this morning on the back of positive cues from the West",AHLEAST,Asian Hotels (East) Limited
234,"Lemon Tree Hotels announces 6th new property in a month, stock gains","The 60-room property in Rajasthan#39;s Sri Ganganagar is the latest hotel that the company has signed in a month. It announced new properties in Manali, Bhopal, Kasauli and Dapoli. They will all get operational between 2023 and 2026",ANDHRSUGAR,The Andhra Sugars Limited
235,GAIL India stock gains after signing MoU with Shell Energy India for hydrocarbon imports,GAIL is planning to import ethane from the US to replace natural gas and naphtha as feedstock at petrochemical plants.,GAIL,GAIL (India) Limited
236,Stock Market Today: Top 10 things to know before the market opens today,Stock Market Today: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 19 points on Wednesday on the back of upbeat trading in Wall Street and peer markets in Asia ahead of Fed decision and bullish macro outlook,IMPAL,India Motor Parts and Accessories Limited
237,Vascon Engineers stock gains on bagging order worth Rs 158 crore,"Vascon Engineers Limited has received Letter of Acceptance amounting to Rs 158.09 crore for design, engineering, procurement and construction of Jila Karagar at Amethi in Uttar Pradesh",ENGINERSIN,Engineers India Limited
239,Stock Market Today: Top 10 things to know before the market opens today,Stock Market News: Trends in the SGX Nifty indicate a negative opening for the broader index in India on Wednesday with the US market ending weak amid growing Fed worries over manufacturing data and Asian indices showing lukewarm trade,AHLEAST,Asian Hotels (East) Limited
240,"More stock in Adani Group firms pledged to lenders, trustee says","SBICap Trustee said in a notice to exchanges that a further 0.99% shares in Adani Green Energy Ltd. were pledged âfor the benefits of the lendersâ of Adani Enterprises Ltd. An additional 0.76% shares in Adani Transmission Ltd. were also pledged to banks, …",ENERGYDEV,Energy Development Company Limited
242,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a positive opening for the broader index in India after bloodbath on Monday. Wall Street records choppy trade and Asian indices post rise in volatility, but stronger macros give support to Indian markets",AHLEAST,Asian Hotels (East) Limited
243,"Should you buy the stock of PVR-Inox, the worldâs 5th largest multiplex chain?","The company is also a fast-food giant now. It clocked Rs 1,500 crore in F&amp;B sales last year. For context, Westlife Foodworld, which operates McDonald's in North and West, clocks about Rs 1,400-1,500 crore annual revenue. Brokerages say box office, F&amp;B …",ANDHRSUGAR,The Andhra Sugars Limited
244,MM trades flat after hiking stake in aerospace subsidiary; analysts divided on stock performance,"The company increased its holding in Mahindra Aerospace Private Limited from around 91.6 percent to 100 percent. MAPLâs 7.68 crore shares were bought for around Rs 31.5 crore, the company said in an exchange filing",ANDHRSUGAR,The Andhra Sugars Limited
245,"Taking Stock | Sensex, Nifty end marginally lower amid volatility; power, oil and gas worst hit",The BSE midcap index declined 0.4 percent and the smallcap index fell 0.8 percent,ANDHRSUGAR,The Andhra Sugars Limited
246,"Trade Spotlight | What#39;s your strategy for Varun Beverages, State Bank of India, PB Fintech?","PB Fintech was also in focus, rising 6.5 percent to Rs 598, the highest closing level since June 27 last year, after consolidation in previous four trading sessions with sustaining above 200-day EMA (Rs 546). The stock has formed long bullish candle on the da…",ANDHRSUGAR,The Andhra Sugars Limited
247,"Hot Stocks | Usha Martin, Balrampur Chini Mills, Mahanagar Gas may fetch double-digit returns","Balrampur Chini is currently nearing its 3-month's high which tells that the stock already is in strong momentum. The stock in the latest week broke out of Inverse Head &amp; Shoulder pattern, signaling a beginning of the trend to the upside.",ANDHRSUGAR,The Andhra Sugars Limited
249,Know your stock: Will Privi Specialtyâs rollercoaster ride end now?,The stock has plunged over the last year and gained significantly over the last month.,ANDHRSUGAR,The Andhra Sugars Limited
250,"DLF tops BSE 100 list with substantial volumes, potential to hit Rs 400 mark","The stock rose more than 4 percent on March 17, with significantly higher volumes.",ANDHRSUGAR,The Andhra Sugars Limited
254,"Hot Stocks | Bet on Glenmark Pharma, Control Print, Rail Vikas Nigam for short term",Primary trend remains positive as Rail Vikas Nigam is trading above its 200-day EMA. Momentum indicators and oscillators are showing strength in the stock.,VIKASECO,Vikas EcoTech Limited
255,"Cookie may crumble for Britannia as soaring wheat, milk prices to crimp margins: CLSA",CLSA has downgraded Britannia from Underperform to Sell rating and has cut target price on the stock,BRITANNIA,Britannia Industries Limited
256,Voltas to consider price hikes in April; Nomura sees 25% upside,The stock has been on a rollercoaster ride over the past month on opposing views from foreign brokerages,ANDHRSUGAR,The Andhra Sugars Limited
257,"CG Power recovers from day#39;s low, takes support at 50% Fib retracement","The stock closed 2.2 percent lower at Rs 300 but managed to hold the low of February 28 (Rs 298.8), thanks to a late trade recovery.",ANDHRSUGAR,The Andhra Sugars Limited
260,FO Buzzer | Balrampur Chini Mills throws a bunch of bullish signals; stock zooms 6%,"The stock price has not only crossed above the 50-day and 200-day simple moving average (SMA) but has also moved to a high of the month, signaling a positive trend for the company.",ANDHRSUGAR,The Andhra Sugars Limited
261,NACL Industries stock gains on environment clearance to set up chemicals plant,"The share touched 52-week high of Rs 110.80 and 52-week low of Rs 70 on 02 January, 2023 and 30 May, 2022, respectively.",ANDHRSUGAR,The Andhra Sugars Limited
262,Sebi looks to plug gaps allowing founders to own stock options,"The Securities and Exchange Board of India (SEBI) does not want founders to own stock options if they have rights akin to those enjoyed by promoters, the sources with direct knowledge of the matter said.",ANDHRSUGAR,The Andhra Sugars Limited
263,Stock Market Today: Top 10 things to know before the market opens today,Stock Market Update: Trends in the SGX Nifty indicate a negative opening for the broader index in India with a loss of 85 points today in sync with negative sentiment prevalent in global markets and FIIs continuing to offload Indian equities,IMFA,Indian Metals & Ferro Alloys Limited
264,Uno Minda: Stock opens higher following news of JV-entities#39; buyout,"Uno Minda, a supplier of proprietary automotive solutions and systems to original equipment manufacturers, has bought its JV partner Koseiâs stake in Kosei Minda Aluminum and Kosei Minda Mould.",MINDACORP,Minda Corporation Limited
265,Differing Jerome Powell and Janet Yellen messages were a lot for the stock market to digest,"The S&amp;P 500 fell, rose, went back to unchanged then plunged again as traders tried to synthesize comments on the health of the economy, rates trajectory, the state of banks and how far the government will go to protect depositors.",ANDHRSUGAR,The Andhra Sugars Limited
269,Stock Market Today: Top 10 things to know before the market opens today,Stock Market News: Trends in the SGX Nifty indicate a negative opening for the broader index in India on Friday in step with Wall Street ending in a loss over jobs data worries and all Asian markets trading in the red over macro concerns,AHLEAST,Asian Hotels (East) Limited
270,Buzzing Stocks: Bajaj Auto top Nifty gainer as JP Morgan âoverweightâ on stock,"JP Morgan is overweight on Bajaj Auto, with target price at Rs 4,400 per share. The financial services company said the stock could potentially re-rate in 2023",ANDHRSUGAR,The Andhra Sugars Limited
271,Stock Market Today: Top 10 things to know before the market opens today,Stock Market News: Trends in the SGX Nifty indicate a flat opening for the broader index in India on Thursday with traders taking measured steps perhaps in line with the cautious outlook around the world with the Wall Street wobbling and Asian markets trading…,AHLEAST,Asian Hotels (East) Limited
272,Stock Market Today: Top 10 things to know before the market opens,"In the previous session, the BSE Sensex rose 79 points to close at 57,635, while the Nifty 50 gained 13.4 points to settle at 16,986",BSE,BSE Limited
273,"Shriram Finance eyes 15% stake sale in housing finance arm, stock gains","After the equity infusion, Shriram Financeâs stake in Shriram Housing Finance will drop to around 70 percent from 85 percent, a report said",HDFC,Housing Development Finance Corporation Limited
274,Tata Motors stock price rises on move to hike commercial vehicle prices,"The price increase will be applied across the entire range of commercial vehicles, with the exact amount varying according to the individual model and variant, the automaker said.",ANDHRSUGAR,The Andhra Sugars Limited
275,Patel Engineering stock gains on bagging order worth Rs 511 crore along with JV Partner,"The civil construction company along with the JV partner received LoA for Tumkur Branch Canal Micro Irrigation Project from Visvesvaraya Jala Nigam Limited, the company said.",ANDHRSUGAR,The Andhra Sugars Limited
276,Stock Market Today: Top 10 things to know before the market opens today,Stock Market Update: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 84 points in step with surge in Wall Street on ebbing fears of banking crisis contagion and rise in Asian peer markets,AHLEAST,Asian Hotels (East) Limited
278,Stock Market Today: Top 10 things to know before the market opens,"Stock Market Today: In the previous session, the BSE Sensex rallied 140 points to close at 58,215, while Nifty added 44.40 points or 0.26 percent to settle at 17,151.90",BSE,BSE Limited
279,Stock Market Today: Top 10 things to know before the market opens,Stock Market Today: Trends in the SGX Nifty indicate a flat start for the broader index in India with a gain of 5.50 points amid the US markets ending slightly lower and Asian peers showing tepid trading,AHLEAST,Asian Hotels (East) Limited
281,Stock Market Today: Top 10 things to know before the market opens today,Stock Market News: Trends in the SGX Nifty indicate a negative opening for the broader index in India on Wednesday in line with a steep fall in the US markets and lower trading in Asian peers after Federal Reserve indicated steeper rate hikes to contain infla…,AHLEAST,Asian Hotels (East) Limited
282,Paras Defence stock gains on signing pact with Israel#39;s CONTROL,"Paras Defence and Space Technologies has entered into a Memorandum of Understanding with CONTROP Precision Technologies, to create new opportunities and expand both parties#39; business in the Indian and global defence sector.",IMFA,Indian Metals & Ferro Alloys Limited
283,"Jefferies predicts 13% stock drop for Indigo, assigns âunderperformâ rating","Brokerage firm Jefferies India has initiated an underperform rating on Interglobe Aviation Ltd, with a 13 percent cut in its target price to Rs 1,615 a share from the current market price.",IMPAL,India Motor Parts and Accessories Limited
284,"Sunil Singhania, Madhu Kela bump up stake in this smallcap engineering company; stock gains","As of December end, Singhania already held 2.62 percent stake in Dynamatic Technologies via Abakkus Emerging Opportunities Fund-1",DYNAMATECH,Dynamatic Technologies Limited
285,Kotak Mahindra Bank gains as CLSA upgrades stock to #39;buy#39;,"Kotak#39;s loan growth had picked up over the last 18 months to more than 20 percent, driven by a higher willingness of management to lend, it said",20MICRONS,20 Microns Limited
287,"Trade Spotlight | How you should trade in KPIT Technologies, JBM Auto, Kalyan Jewellers today","Kalyan Jewellers India also came back strong after recent consolidation, rising nearly 10 percent to Rs 119.5, and formed strong bullish candlestick pattern on the daily charts with robust volumes.",IMPAL,India Motor Parts and Accessories Limited
288,Saregama India shares spike but further technical uptrend possible only above Rs 360,The trading volumes on Tuesday was highest in last two years on daily basis.,ANDHRSUGAR,The Andhra Sugars Limited
289,"Trade Spotlight | How to trade in Sudarshan Chemical, Elgi Equipments, Aptus Value Housing","Elgi Equipments shares gained 2 percent at Rs 478 and formed bullish candle with long upper wick on the daily charts, indicating profit booking at higher levels. The stock has seen higher high higher low formation on the daily charts, with above average volume…",ANDHRSUGAR,The Andhra Sugars Limited
290,"Federal Bank climb as global brokerages retain positive stance, see 33% upside","Global research and broking firm Citi has maintained its buy call on the stock with target at Rs 165 per share, an upside of 25 percent from current market price while Morgan Stanley has retained its overweight rating on the stock with target at Rs 175 per sh…",GLOBALVECT,Global Vectra Helicorp Limited
291,"Trade Spotlight | Your strategy for trading in BPCL, Rallis India and Gujarat State Petronet","BPCL was also in action, rising 2.35 percent to Rs 360 and formed bullish candle with long lower shadow on the daily charts, indicating support-based buying in the stock. The trading volumes remained strong in last three days, with the stock coming back above…",ANDHRSUGAR,The Andhra Sugars Limited
293,"Shilpa Medicare over two-week high with single day rally, Rs 305-310 crucial for getting into momentum","On Thursday, Shilpa Medicare recouped most of those losses and has formed long bullish candlestick pattern on the daily charts with significantly higher volumes, after forming Doji kind of pattern in previous session. It was the second biggest gainer in the N…",SHILPAMED,Shilpa Medicare Limited
294,"Bajaj Auto: JP Morgan sees 15% upside with exports bottoming out, rising margins","The brokerage has set a target price of Rs 4,400 on the stock, which is currently trading at Rs 3,828.6.",ANDHRSUGAR,The Andhra Sugars Limited
298,"MRPL shares gain 7%, trade in the green for fifth straight session","On March 9, MRPL signed an agreement with Indian Institute of Chemical Technology (IICT) for collaborative research",IMFA,Indian Metals & Ferro Alloys Limited
300,Trading in times of correction: Top 10 ideas from experts for next 3-4 weeks,"The 17,300 level is expected to act as a crucial support, followed by the recent swing low of 17,250 and, if the said levels get broken, then there could be correction up to the 17,000 mark",ANDHRSUGAR,The Andhra Sugars Limited
303,Buy Marico; target of Rs 645: Sharekhan Here,"Sharekhan is bullish on Marico has recommended buy rating on the stock with a target price of Rs 645 in its research report dated March 01, 2023.",MARICO,Marico Limited
304,Buy NTPC; target of Rs 200: Sharekhan,"Sharekhan is bullish on NTPC has recommended buy rating on the stock with a target price of Rs 200 in its research report dated March 01, 2023.",NTPC,NTPC Limited
305,Buy Blue Star; target of Rs 1655: Sharekhan,"Sharekhan is bullish on Axis Bank has recommended buy rating on the stock with a target price of Rs 1655 in its research report dated March 02, 2023.",AXISBANK,Axis Bank Limited
307,Buy Grasim Industries; target of Rs 1900: Sharekhan,"Sharekhan is bullish on Grasim Industries has recommended buy rating on the stock with a target price of Rs 1900 in its research report dated February 14, 2023.",GRASIM,Grasim Industries Limited
308,Buy Tech Mahindra; target of Rs 1220: Sharekhan,"Sharekhan is bullish on Tech Mahindra has recommended buy rating on the stock with a target price of Rs 1220 in its research report dated March 03, 2023.",M&M,Mahindra & Mahindra Limited
309,Buy PVR; target of Rs 1800: Sharekhan,"Sharekhan is bullish on PVR has recommended buy rating on the stock with a target price of Rs 1800 in its research report dated March 14, 2023.",PVR,PVR Limited
310,"Patanjali to bring another FPO for Patanjali Foods; to start process from April, says Baba Ramdev","Stock exchanges NSE and BSE have frozen the shares of promoters of Baba Ramdev-led Patanjali Group firm Patanjali Foods, which is a major edible oil player.",BSE,BSE Limited
311,Buy TCS; target of Rs 3810: Motilal Oswal,"Motilal Oswal is bullish on TCS recommended buy rating on the stock with a target price of Rs 3810 in its research report dated March 17, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
312,Buy Jyothy Labs; target of Rs 240: Sharekhan,"Sharekhan is bullish on Jyothy Labs has recommended buy rating on the stock with a target price of Rs 240 in its research report dated March 17, 2023.",JYOTHYLAB,Jyothy Labs Limited
313,Buy IndusInd Bank; target of Rs 1450: Motilal Oswal,"Motilal Oswal is bullish on IndusInd Bank recommended buy rating on the stock with a target price of Rs 1450 in its research report dated March 12, 2023.",BANKBARODA,Bank of Baroda
316,Buy Vedant Fashions; target of Rs 1400: Motilal Oswal,"Motilal Oswal is bullish on Vedant Fashions recommended buy rating on the stock with a target price of Rs 1400 in its research report dated March 30, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
317,"JSW Steel is adding capacity at right time to ride strong demand, says Motilal Oswal",Motilal Oswal Financial Services has maintained its âneutralâ rating on JSW Steel stock with a target price of Rs 710.,BINDALAGRO,Oswal Chemicals & Fertilizers Limited
318,"Buy Abbott India; target of Rs 25,243: Sharekhan","Sharekhan is bullish on Abbott India has recommended buy rating on the stock with a target price of Rs 25,243 in its research report dated March 13, 2023.",ABBOTINDIA,Abbott India Limited
319,Buy PI Industries; target of Rs 4200: Sharekhan,"Sharekhan is bullish on PI Industries has recommended buy rating on the stock with a target price of Rs 4200 in its research report dated February 15, 2023.",PIIND,PI Industries Limited
320,Buy Suprajit Engineering; target of Rs 403: Sharekhan,"Sharekhan is bullish on Suprajit Engineering has recommended buy rating on the stock with a target price of Rs 403 in its research report dated February 15, 2023.",SUPRAJIT,Suprajit Engineering Limited
321,Promoters offload Rs 825 crore shares in Kirloskar Oil,"Kirloskar Oil Engines have seen several block deals on March 8, which resulted into the stock closing the session with 20 percent upper circuit at Rs 390",20MICRONS,20 Microns Limited
322,Buy Gujarat Gas; target of Rs 560: Sharekhan,"Sharekhan is bullish on Gujarat Gas has recommended buy rating on the stock with a target price of Rs 560 in its research report dated February 13, 2023.",GAEL,Gujarat Ambuja Exports Limited
323,"Brokerages neutral on Tech M, negative on Infy, but investors cheer Mohit Joshiâs move",Brokerages believe Tech Mahindra stock can re-rate marginally in the near-term but a structural re-rating can happen only over medium term,M&M,Mahindra & Mahindra Limited
324,Buy Grasim; target of Rs 1900: Motilal Oswal,"Motilal Oswal is bullish on Grasim recommended buy rating on the stock with a target price of Rs 1900 in its research report dated March 08, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
326,Buy CEAT; target of Rs 1860: Motilal Oswal,"Motilal Oswal is bullish on CEAT recommended buy rating on the stock with a target price of Rs 1860 in its research report dated February 28, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
