,Unnamed: 0.1,Unnamed: 0,sno,DATE,HEADLINE,TICKER,COMPANY NAME,SECTOR,SUBSECTOR,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,negative_score,positive_score,neutral_score,compound_score,High,Low,Open,close,volume,adj close,avg High,avg low,avg open,avg close,avg volume,avg adj close,trend
2518,2518,2518,4150,29-07-2022,"Deepak Fertilisers & Petrochemicals  reports Q1 earnings.

▶️Cons net profit at Rs 434 cr vs Rs 128 cr (YoY)

▶️Cons revenue up 59.4% at Rs 3,031 cr vs Rs 1,902 (YoY)

▶️Cons EBITDA at Rs 740 cr vs Rs 290 cr (YoY)

▶️Cons EBITDA margin at 24.4% vs 15.3% (YoY)",DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Chemicals,EQ,17-Jan-03,10,1,INE501A01019,10,0.0,0.057,0.943,0.4404,680.0,710.75,746.25,710.75,704.0476074,720598,807.3400024,826.8099976,794.4,810.7300049,803.0848267,431550.6,bullish
2167,2167,2167,3632,12-07-2022,"Sunteck Realty Q1 Update

▶️Pre-sales up 89% YoY & down 34% QoQ at Rs 333 cr

▶️Collections up 66% YoY & down 29% QoQ at Rs 285 cr

New launches & sales momentum in ongoing projs, shall lead to continued growth, Sunteck Realty says",NDTV,New Delhi Television Limited,Entertainment,Entertainment,BE,19-May-04,4,1,INE155G01029,4,0.0,0.061,0.939,0.3818,192.6999969,202.0,193.1999969,196.8500061,196.8500061,1540253,211.2799988,220.0200012,207.3200012,215.4300018,215.4300018,1139249.4,bullish
3085,3085,3085,5170,27-08-2022,"Tata Steel gets land allotment letter to set up Rs 2,600 crore plant in Ludhiana",SAIL,Steel Authority of India Limited,Steel,Steel,EQ,06-Jul-95,10,1,INE114A01011,10,0.0,0.0,1.0,0.0,81.0,82.90000153,78.44999695,81.69999695,81.69999695,29944031,96.47999878,97.76999817,95.1,96.15999908,96.15999908,22686463.8,bearish
1427,1427,1427,2499,22-05-2022,Apple to choose India over China for production,IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-Oct-05,10,1,INE547E01014,10,0.0,0.0,1.0,0.0,775.5,797.5,766.0,785.5,762.9555054,1055,930.0099976,957.7400146,922.3300049,931.4800049,904.7457642,2686.0,bearish
2445,2445,2445,4056,27-07-2022,Maharashtra CM Eknath Shinde meets industrialist Ratan Tata at the latter's residence in Mumbai,MAHSCOOTER,Maharashtra Scooters Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,08-Feb-95,10,1,INE288A01013,10,0.0,0.0,1.0,0.0,3781.449951,3781.449951,3737.850098,3719.300049,3648.485352,2403,4460.080029,4522.869971,4417.130029,4457.340039,4372.473145,2420.0,bullish
4327,4327,4327,7057,08-11-2022,"Arvind Q2 (Cons, YoY) | #2QWithCNBCTV18

👚 Net profit up 79% at Rs 127.3 cr Vs Rs 71.1 cr

👚 Revenue up 2.9% at Rs 2169.8 cr Vs Rs 2108 cr

👚 EBITDA down 7.2% at Rs 201.7 cr Vs Rs 217.4 cr

👚 EBITDA margin at 9.3% Vs 10.3%",ARVIND,Arvind Limited,Textiles - Denim,Textiles - Denim,EQ,08-Feb-95,10,1,INE034A01011,10,0.0,0.062,0.938,0.4404,96.5,97.19999695,92.59999847,94.0,94.0,937021,112.0600006,113.8099991,110.6100006,111.7900009,111.7900009,1362814.8,bearish
5159,5159,5159,8246,11-01-2023,"Atul Auto unveils electric 3-wheelers, Atul Mobili & Atul Energie at Auto Expo 2023

Alert: Atul Mobili is a passenger vehicle & Atul Energie is a cargo variant

#AtulAuto #AutoExpo2023",ATUL,Atul Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,06-May-98,10,1,INE100A01010,10,0.0,0.081,0.919,0.296,7698.0,7739.049805,7625.100098,7715.75,7715.75,21203,9503.990039,9528.210059,9311.65,9386.239844,9386.239844,37723.8,bearish
5714,5714,5714,8977,14-02-2023,"Repco Homes reports Q3 earnings.

◼️Net profit at Rs 80.8 cr Vs Rs 31.5 cr (YoY)

◼️NII down 1.7% at Rs 138.7 cr Vs Rs 141.1 cr (YoY)",REPCOHOME,Repco Home Finance Limited,,,EQ,01-Apr-13,10,1,INE612J01015,10,0.0,0.097,0.903,0.4404,233.8999939,234.0,214.0,222.9499969,222.9499969,342626,280.0699982,284.2100006,270.9,277.2999969,277.2999969,257508.2,bearish
113,113,113,278,25-02-2022,NMDC hikes ironore prices by upto INR 680/tn,NMDC,NMDC Limited,Mining & Minerals,Mining & Minerals,EQ,03-Mar-08,1,1,INE584A01023,1,0.0,0.0,1.0,0.0,139.0,142.0,139.3999939,141.0,141.0,10771799,168.4,171.3599976,165.9699982,168.0899994,168.0899994,11142913.8,bullish
960,960,960,1656,18-04-2022,"Mahindra Lifespaces acquires 11.5 acres land parcel in Pimpri, Pune",M&M,Mahindra & Mahindra Limited,Auto,Auto,EQ,03-Jan-96,5,1,INE101A01026,5,0.0,0.0,1.0,0.0,866.0999756,876.0,865.0999756,874.0999756,865.2466431,3076843,1017.909998,1036.140002,1011.859985,1029.909985,1019.47854,3943048.4,bearish
4083,4083,4083,6666,21-10-2022,"Rajratan Global Wire reports Q2 earnings

▶️Net profit down 28.5% at Rs 23.3 cr Vs Rs 32.6 cr (YoY)

▶️Revenue down 6.9% at Rs 224.6 cr Vs Rs 241.2 cr (YoY)

▶️EBITDA down 25.7% at Rs 37.7 cr Vs Rs 50.7 cr (YoY)

▶️Margin at 16.8% Vs 21% (YoY)",GLOBALVECT,Global Vectra Helicorp Limited,Misc,Misc,EQ,27-Oct-06,10,1,INE792H01019,10,0.0,0.057,0.943,0.4404,56.25,56.59999847,55.0,55.29999924,55.29999924,15903,69.26000061,69.74000015,66.92999954,67.75000076,67.75000076,14123.6,bullish
4065,4065,4065,6641,20-10-2022,Bajaj Finance reports highest ever consolidated quarterly profit after tax,BAJAJ-AUTO,Bajaj Auto Limited,Sugar,Sugar,EQ,26-May-08,10,1,INE917I01010,10,0.0,0.244,0.756,0.4404,3629.350098,3703.899902,3641.75,3691.850098,3691.850098,310251,4352.53999,4414.46001,4306.4,4352.660059,4352.660059,604160.6,bearish
1114,1114,1114,1938,29-04-2022,"HFCL Q4 : CON. NET PROFIT DOWN 23 % AT 64 CR (YOY])  , DOWN 17 % (QOQ)

REVENUE DOWN 15 % AT 1182 CR(YOY), DOWN 3 % (QOQ)

EBITDA DOWN 32 % AT 124 CR (YOY), DOWN 27 % (QOQ)

MARGINS AT 10.4 % V 13 % (YOY), 14 % (QOQ)",HFCL,HFCL Limited,Telecommunications - Equipment,Telecommunications - Equipment,EQ,09-Mar-11,1,1,INE548A01028,1,0.0,0.087,0.913,0.5622,76.09999847,77.30000305,67.05000305,74.19999695,74.02274323,7421906,91.92000122,93.75,90.33000031,91.46000061,91.24151764,8265229.4,bearish
4239,4239,4239,6905,02-11-2022,Precision Wires to consider bonus issue on November 10,PRECAM,Precision Camshafts Limited,,,EQ,08-Feb-16,10,1,INE484I01029,10,0.0,0.304,0.696,0.5423,103.5999985,105.9000015,105.25,105.25,105.25,37713,127.6,128.85,125.1699997,126.0499985,126.0499985,42155.2,bullish
5769,5769,5769,9050,15-02-2023,ITD Cementation bags new order worth ₹833 cr,ITDCEM,ITD Cementation India Limited,Construction & Contracting - Civil,Construction & Contracting - Civil,EQ,10-Feb-99,1,1,INE686A01026,1,0.0,0.213,0.787,0.2263,105.8000031,106.4000015,104.0999985,104.9000015,104.9000015,307738,127.9300003,129.7100006,124.9399994,126.9300003,126.9300003,988806.2,bullish
2704,2704,2704,4484,05-08-2022,"Automotive Axles reports Q1 earnings.

▶️ Net profit at Rs 30.4 cr vs Rs 5.5 cr (YoY)

▶️ Revenue up 96.1% at Rs 500 cr vs Rs 255 cr (YoY)

▶️ EBITDA at 51.3 vs 15.6 cr (YoY)

▶️ Margin 10.3% vs 6.1% (YoY)",ASAL,Automotive Stampings and Assemblies Limited,Auto Ancillaries,Auto Ancillaries,EQ,12-Mar-02,10,1,INE900C01027,10,0.0,0.063,0.937,0.4404,431.0,445.0499878,407.0,414.3999939,414.3999939,86748,552.3599976,561.0700012,528.75,536.0599976,536.0599976,90912.2,bullish
684,684,684,1274,30-03-2022,"CCI (@CCI_India) conducts raids at headquarters of CEAT, MRF & Apollo Tyres over alleged competition violation & cartelisation",APOLLOHOSP,Apollo Hospitals Enterprise Limited,Medical,Medical,EQ,10-Jan-96,5,1,INE437A01024,5,0.176,0.0,0.824,-0.4939,4677.0,4693.700195,4500.850098,4614.799805,4602.206543,4839707,5608.62998,5655.25,5511.069922,5561.42002,5546.243555,1745284.0,bearish
4219,4219,4219,6866,01-11-2022,"#BASF: #Karnataka HC rules in favour of company in Rs 764 cr #tax notice case

⭕️Karnataka HC Quashes The Order Of Commercial Tax Department, Karnataka

⭕️Alert: Karnataka Tax Department had issued tax #notice for period of 2007-2018",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-Nov-95,2,1,INE715B01021,2,0.0,0.075,0.925,0.4404,141.3500061,141.5,138.75,138.5,138.5,206400,167.1800018,169.15,163.7399994,166.4599976,166.4599976,120142.2,bullish
4304,4304,4304,7013,07-11-2022,"Nucleus Soft reports Q2 earnings

▶️Profit up 2.1% at ₹11 cr vs ₹10.8 cr (QoQ)

▶️Revenue up 0.9% at ₹130 cr vs ₹129 cr (QoQ)

▶️EBITDA down 22.7% at ₹11.4 cr vs ₹14.7 cr (QoQ)

▶️EBITDA margin at 8.7% vs 11.4% (QoQ)",NUCLEUS,Nucleus Software Exports Limited,Computers - Software Medium & Small,Computers - Software Medium & Small,EQ,19-Dec-02,10,1,INE096B01018,10,0.0,0.0,1.0,0.0,394.0,400.0,388.2000122,393.0,393.0,69065,469.2999939,475.0,464.8399963,468.6799988,468.6799988,24127.8,bearish
5220,5220,5220,8321,17-01-2023,"Network18 Media & Investments reports Q3 earnings.
 
▶️Operating revenue up 11.6% at Rs 1,850.5 cr Vs Rs 1,657.4 cr (YoY)

▶️EBITDA down 99.5% at Rs 1.7 cr Vs Rs 373.1 cr (YoY)

▶️Margin at 0.1% Vs 22.6% (YoY)",NETWORK18,Network18 Media & Investments Limited,Finance,Finance,EQ,02-Feb-07,5,1,INE870H01013,5,0.0,0.0,1.0,0.0,65.65000153,66.34999847,62.29999924,63.34999847,63.34999847,1719147,77.36999893,78.20999908,75.95999985,76.76999817,76.76999817,1190275.2,bearish
1881,1881,1881,3288,23-06-2022,"Intention for the merger is not cost savings but revenue consolidation. Merged company valuation at ₹400-450 crore, says Guruprasad Srinivasan of Quess Corp",QUESS,Quess Corp Limited,,,EQ,12-Jul-16,10,1,INE615P01015,10,0.0,0.0,1.0,0.0,637.9000244,644.2999878,606.7999878,610.5,600.3197021,239624,753.7200073,765.6900024,731.5299927,744.1299927,731.7213623,167334.8,bearish
3932,3932,3932,6454,17-10-2022,"Oriental Hotels Q2

▶️Net profit at Rs 11 cr Vs Loss of Rs 4.8 cr (YoY)

▶️Revenue up 69.7% at Rs 88.8 cr vs Rs 52.3 cr (YoY)

▶️EBITDA at Rs 23.3 cr Vs Rs 4.6 cr (YoY)

▶️Margin at 26.3% Vs 8.9% (YoY)",OCCL,Oriental Carbon & Chemicals Limited,Chemicals,Chemicals,EQ,27-Jan-16,10,1,INE321D01016,10,0.049,0.061,0.89,0.1531,866.0999756,893.75,857.0,872.75,865.0157471,3037,1046.120007,1064.1,1034.23999,1048.429993,1039.138904,4133.0,bearish
3439,3439,3439,5733,20-09-2022,Power Grid Large Trade | 89.25 lakh shares (0.13% equity) worth ₹209.6 crore change hands at average ₹235.25/share,PFC,Power Finance Corporation Limited,Finance,Finance,EQ,23-Feb-07,10,1,INE134E01011,10,0.0,0.215,0.785,0.4767,113.5999985,114.8000031,111.8000031,113.3499985,110.6306839,6711119,138.5399994,139.9,136.3699982,137.8200012,134.5136444,11087663.0,bearish
3819,3819,3819,6282,11-10-2022,Infosys to consider a proposal for buyback of shares,INFY,Infosys Limited,Computers - Software,Computers - Software,EQ,08-Feb-95,5,1,INE009A01021,5,0.0,0.239,0.761,0.296,1462.650024,1479.650024,1413.550049,1423.800049,1408.408203,12824774,1722.409985,1741.31001,1706.13999,1723.190015,1704.561597,7969819.8,bullish
1634,1634,1634,2827,02-06-2022,"*Oil Drops Sharply*

- Brent oil -5.3% to $116.29/bbl

- FT reports that S. Arabia has indicated it is prepared to raise output if Russia’s output falls substantially

- WSJ on Tuesday said that some OPEC members have begun planning for an output hike sometime in next few mths",SPAL,S. P. Apparels Limited,,,EQ,12-Aug-16,10,1,INE212I01016,10,0.0,0.041,0.959,0.2263,335.7000122,341.0,326.8500061,328.75,328.75,48931,398.5599976,406.3200012,386.7899963,395.0400024,395.0400024,55632.0,bearish
5246,5246,5246,8345,18-01-2023,"CCL Products (India) reports Q3 earnings.

▶️Net profit up 25% at Rs 73 Cr Vs Rs 58 cr (YoY)

▶️Revenue up 26.5% at Rs 535.3 Cr Vs Rs 423 cr (YoY)

▶️EBITDA up 8.9% at Rs 100.7 cr Vs Rs 92.4 cr (YoY)

▶️Margin at 18.8% Vs 21.8% (YoY)",CCL,CCL Products (India) Limited,Tea-Coffee,Tea-Coffee,EQ,07-Jun-04,2,1,INE421D01022,2,0.0,0.057,0.943,0.4404,522.5,539.0,513.8499756,517.5499878,514.6149292,642211,624.4399902,632.4299927,615.7899963,621.8199951,618.2935974,241444.0,bullish
2018,2018,2018,3418,01-07-2022,"Royal Enfield June auto sales
 
▶️Total sales at 61,407 units Vs Nomura's estimate of 63,000 units (YoY)

▶️Total sales up 43% at 61,407 units Vs 43,048 units (YoY)",ROHLTD,Royal Orchid Hotels Limited,Hotels,Hotels,EQ,06-Feb-06,10,1,INE283H01019,10,0.0,0.0,1.0,0.0,134.9499969,136.0,133.0,134.3999939,134.3999939,55904,151.4600006,157.2399979,148.1300018,153.95,153.95,47522.2,bullish
5542,5542,5542,8726,06-02-2023,"Action Construction Equipment reports Q3 earnings.

◼️Net profit up 69.9% at Rs 46.5 cr Vs Rs 27.4 cr (YoY)

◼️Revenue up 27.4% at Rs 556.3 cr Vs Rs 436.6 cr (YoY)

◼️EBITDA up 57% at Rs 61.9 cr Vs Rs 39.4 cr (YoY)

◼️Margin at 11.1% Vs 9% (YoY)",ACE,Action Construction Equipment Limited,Engineering - Heavy,Engineering - Heavy,EQ,26-Sep-06,2,1,INE731H01025,2,0.0,0.057,0.943,0.4404,335.0,341.0,337.1000061,337.75,337.75,539952,393.5900024,403.0,384.85,395.4899963,395.4899963,428403.8,bullish
3114,3114,3114,5226,30-08-2022,"Tata Power to install smart meters for all its 7.5 lakh consumers in Mumbai by FY25

@TataPower has already installed 75,000 smart meters, will  touch 1 lakh  by March 2023",PFC,Power Finance Corporation Limited,Finance,Finance,EQ,23-Feb-07,10,1,INE134E01011,10,0.0,0.167,0.833,0.6597,119.3000031,120.1500015,116.8000031,119.5999985,114.534729,8103902,142.7800003,144.1999985,142.05,143.0299988,136.9724243,7454169.0,bearish
4643,4643,4643,7526,25-11-2022,"Nifty Bank sheds 91 points to 42,983 & Midcap index up 298 points to 31,587",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.0,0.172,0.828,0.4019,170.9499969,172.6999969,166.25,167.8500061,167.8500061,26429948,199.4899994,202.4600006,197.3899994,199.7700012,199.7700012,31269243.2,bullish
1858,1858,1858,3233,21-06-2022,"Goa Carbon resumes operations at St Jose De Areal, Saicete in Goa",DENORA,De Nora India Limited,Misc,Misc,EQ,07-Aug-97,10,1,INE244A01016,10,0.0,0.0,1.0,0.0,619.0,679.1500244,663.0999756,673.7000122,672.8776245,21518,791.5100098,814.4900146,747.8599976,781.6599976,780.7058228,23943.8,bullish
2077,2077,2077,3507,06-07-2022,The Central Bureau of Investigation (CBI) is conducting searches at Mumbai-based premises of Managing Director (MD) and other employees of Patel Engineering Company,ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-Nov-95,2,1,INE715B01021,2,0.0,0.0,1.0,0.0,124.6999969,125.8499985,122.5500031,123.6999969,122.0539551,86239,149.6899979,151.9199997,146.8000015,148.5499985,146.5732834,117669.4,bearish
326,326,326,676,12-03-2022,Ukraine President Zelensky proposes meeting Russian President Putin in Jerusalem. President Volodymyr Zelensky said that he asked Israeli Prime Minister Naftali Bennett to act as an intermediary: The Kyiv Independent,ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-Nov-95,2,1,INE715B01021,2,0.0,0.0,1.0,0.0,147.0500031,158.8000031,152.0,154.8500061,152.7894592,1596922,173.9399963,181.2100006,170.1700043,175.3100037,172.9772003,1126404.2,bullish
604,604,604,1169,28-03-2022,"HDFC Life in focus
UBS upgrades the stock to Buy with a target of 750. It expects APE to grow 18% VNB margin to expand 150 bps over FY21-24",HDFCBANK,HDFC Bank Limited,Banks - Private,Banks - Private,EQ,08-Nov-95,1,1,INE040A01034,1,0.0,0.078,0.922,0.3182,1430.900024,1438.0,1430.0,1432.800049,1416.332275,7877443,1764.640015,1774.02002,1731.75,1753.250024,1733.099219,10618933.8,bullish
4957,4957,4957,7947,21-12-2022,City Union Bank in focus after bank discloses Gross NPA divergence for FY22. Stock down 7%,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.171,0.0,0.829,-0.4767,184.6499939,186.6999969,173.6499939,177.5500031,177.5500031,28163349,223.8999969,225.7199982,218.2600006,220.3699982,220.3699982,32218726.4,bearish
1695,1695,1695,2933,07-06-2022,PNB: Board approves investing Rs 500 cr in PNB Housing's rights issue,PNBGILTS,PNB Gilts Limited,Finance - Investments,Finance - Investments,EQ,18-Sep-00,10,1,INE859A01011,10,0.0,0.197,0.803,0.4019,65.44999695,65.44999695,64.69999695,64.84999847,60.37449646,94469,78.10999908,78.86000061,75.58999939,77.72999878,72.36560822,200198.6,bearish
3961,3961,3961,6488,18-10-2022,"Bank Of England set to delay quantitative tightening until gilt markets calm,",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.158,0.158,0.685,0.0,137.5,141.75,137.1999969,140.6499939,140.6499939,34071231,159.1799988,162.3899994,156.8300018,159.9599976,159.9599976,25027527.8,bearish
5752,5752,5752,9028,14-02-2023,"GMR Airports Infrastructure reports Q3 earnings.

◼️Net profit at Rs 191.4 cr Vs loss of Rs 626.3 cr (YoY)

◼️Revenue up 29.5% at Rs 1,766.1 cr Vs Rs 1,364.1 cr (YoY)

◼️EBITDA down 25.9% at Rs 526 cr Vs Rs 715.5 cr (YoY)

◼️Margin at 30% Vs 52.5% (YoY)",GMRINFRA,GMR Infrastructure Limited,Infrastructure,Infrastructure,EQ,21-Aug-06,1,1,INE776C01039,1,0.044,0.056,0.9,0.1531,38.70000076,38.70000076,38.09999847,38.15000153,38.15000153,3824544,46.2,46.54000092,45.68000031,46.19000015,46.19000015,7541129.2,bullish
3378,3378,3378,5625,15-09-2022,Mindtree builds digital command & control solution for L&T’s Gujarat Green Hydrogen Plant,GAEL,Gujarat Ambuja Exports Limited,Edible Oils,Edible Oils,EQ,11-Oct-00,1,1,INE036B01030,1,0.0,0.173,0.827,0.3182,288.9500122,290.6000061,280.0,286.4500122,286.4500122,249134,340.4000061,345.2299988,335.1299927,340.0799988,340.0799988,465061.8,bearish
4987,4987,4987,7996,26-12-2022,"Suven Pharma says Advent Intl launches open offer to acquire additional 26% stake (6.61 cr shares) at ₹495/sh worth ₹3,276 cr",SUVEN,Suven Life Sciences Limited,Pharmaceuticals,Pharmaceuticals,EQ,23-Oct-03,1,1,INE495B01038,1,0.0,0.087,0.913,0.2263,66.44999695,68.65000153,63.90000153,66.05000305,66.05000305,1439712,76.65999985,78.92000122,74.70999985,76.17000046,76.17000046,943712.8,bullish
5668,5668,5668,8911,11-02-2023,"Oil India (@OilIndiaLimited) reports Q3 earnings.

◼️Net profit up 1.5% at Rs 1,746.1 cr Vs Rs 1,720.5 cr (QoQ)

◼️Rev up 15.8% at Rs 5,276.2 cr Vs Rs 4,643.4 cr (QoQ)

◼️EBITDA up 54.5% at Rs 2,885.3 cr Vs Rs 1,848.2 cr (YoY)

◼️Margin at 53.1% Vs 39.8% (QoQ)",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-Oct-05,10,1,INE547E01014,10,0.0,0.057,0.943,0.4404,711.5499878,717.9000244,702.0,716.5999756,716.5999756,336,861.6699951,864.8299927,851.0399902,857.2299927,850.0599976,877.6,bearish
2929,2929,2929,4882,13-08-2022,"Inox Wind Energy Q1:

- Revenue at Rs 212 cr vs Rs 143 cr
- Loss at Rs 130 cr vs Rs 45 cr loss last year",ENERGYDEV,Energy Development Company Limited,Power,Power,EQ,02-Nov-07,10,1,INE306C01019,10,0.144,0.197,0.658,0.4019,16.89999962,16.89999962,16.45000076,16.60000038,16.60000038,108287,20.43000031,20.79000015,19.37999992,20.0,20.0,86840.8,bullish
5349,5349,5349,8481,26-01-2023,"Indian Bank (@MyIndianBank)  reports #Q3 earnings 

▶️ Net #profit at ₹1,395.8 cr vs ₹689.7 cr (YoY) 

▶️ #NII up 25.1% at ₹5,499.12 cr vs ₹4,395.1 cr (YoY)",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.0,0.0,1.0,0.0,178.3999939,178.6000061,156.1000061,169.75,169.75,42652626,215.6699982,217.0500061,210.9800049,212.75,212.75,24662925.2,bearish
1288,1288,1288,2262,11-05-2022,"Indiabulls Housing makes an offer to buy back all NCDs worth Rs 800cr, maturing by June 30, 2022

This is being done at par with every NCD holder (par means at the value it was given, the coupon rate i.e.)",HDFC,Housing Development Finance Corporation Limited,Finance,Finance,EQ,23-Oct-96,2,1,INE001A01036,2,0.0,0.102,0.898,0.5106,2228.199951,2237.850098,2143.0,2219.100098,2190.977539,3499620,2635.66001,2672.11001,2600.390039,2632.33999,2598.980469,4590658.0,bearish
2135,2135,2135,3587,09-07-2022,Tata Motors hikes passenger vehicle prices to offset rising input costs,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-Jul-98,2,1,INE155A01022,2,0.0,0.0,1.0,0.0,436.25,443.8500061,433.4500122,441.5499878,441.5499878,23730027,501.4699951,508.4799988,495.3499939,504.3800049,504.3800049,19313176.2,bearish
5607,5607,5607,8820,08-02-2023,"Oberoi Realty reports Q3 earnings.

◼️Net profit up 50.3% at Rs 702.6 cr Vs Rs 467.5 cr (YoY)

◼️Revenue up 95.8% at Rs 1,629.5 cr Vs Rs 832 cr (YoY)

◼️EBITDA at Rs 940.4 cr Vs Rs 331.6 cr (YoY)

◼️Margin at 57.7% Vs 39.9% (YoY)",OBEROIRLTY,Oberoi Realty Limited,Construction,Construction,EQ,20-Oct-10,10,1,INE093I01010,10,0.0,0.061,0.939,0.4404,829.0,845.0,839.8499756,839.0,839.0,206087,995.3900024,1013.65,978.5900024,997.7599976,997.7599976,860985.0,bullish
4008,4008,4008,6545,19-10-2022,"UltraTech Cement reports Q2 earnings.

▶️Net #debt increased to Rs 8,357 cr from Rs 5,561 cr in #June 2022

▶️Net debt increased primarily due to rise in working #capital & growth #capex",ULTRACEMCO,UltraTech Cement Limited,Cement,Cement,EQ,24-Aug-04,10,1,INE481G01011,10,0.069,0.187,0.744,0.5106,6348.100098,6446.0,6277.0,6398.399902,6398.399902,919146,7468.02002,7567.559961,7390.07002,7513.62002,7513.62002,543669.2,bearish
4717,4717,4717,7658,05-12-2022,Voltas in focus as CLSA upgrades rating to outperform from sell,VOLTAS,Voltas Limited,Diversified,Diversified,EQ,12-Apr-95,1,1,INE226A01021,1,0.0,0.0,1.0,0.0,861.0,862.4000244,848.5999756,858.4500122,858.4500122,1045757,1004.409998,1016.430005,994.7499878,1008.159998,1008.159998,1768816.4,bearish
2801,2801,2801,4690,10-08-2022,"3M India reports Q1 earnings.

▶️Cons net profit at Rs 84.2 cr Vs Rs 30.1 cr (YoY)

▶️Revenue up 26.8% at Rs 943.6 cr Vs Rs 743.9 cr (YoY)

▶️EBITDA at Rs 116.5 cr Vs Rs 47.8 cr (YoY)

▶️Margin at 12.3% Vs 6.4% (YoY)",3MINDIA,3M India Limited,Packaging,Packaging,EQ,13-Aug-04,10,1,INE470A01017,10,0.0,0.062,0.938,0.4404,23799.0,24098.84961,22511.30078,22750.30078,21955.0332,11537,27952.25,28389.35,27260.26016,27841.0,26867.78086,5491.2,bearish
2543,2543,2543,4189,30-07-2022,"Ladakh will become India's 1st place to get fuel cell EVs, and move towards being carbon neutral. Smart metering will ensure lesser power wastage, and lesser complaints from consumers, PM Modi at Ujjwal Bharat Ujjwal Bhavishya event",BBL,Bharat Bijlee Limited,Diversified,Diversified,EQ,21-Nov-06,10,1,INE464A01028,10,0.064,0.126,0.81,0.3818,1750.0,1765.150024,1746.150024,1746.150024,1728.38623,12141,2119.2,2152.81001,2084.460034,2107.11001,2085.674219,21113.4,bullish
348,348,348,706,14-03-2022,"Alembic Pharma gets tentative approval from @US_FDA for Macitentan Tablets, 10 mg. Macitentan is an endothelin receptor antagonist, indicated for the treatment of pulmonary arterial hypertension",ALEMBICLTD,Alembic Limited,Pharmaceuticals,Pharmaceuticals,EQ,22-Sep-99,2,1,INE426A01027,2,0.097,0.103,0.8,0.0516,84.0,84.30000305,80.44999695,82.15000153,80.20944977,181707,99.61000061,100.6000015,97.70000153,98.66999969,96.33921356,234821.8,bearish
2227,2227,2227,3732,17-07-2022,"HDFC Bank to consider IPOs for HDFC Sec, HDB Financial Services after merger",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.0,0.0,1.0,0.0,106.0,106.4000015,104.25,104.0500031,104.0500031,15017788,128.6100006,130.3300003,126.3199997,128.4199997,128.4199997,29486726.8,bullish
2439,2439,2439,4039,26-07-2022,"Kabra Extrusiontechnik Q1

▶️Net profit up 50.9% at Rs 4.1 cr Vs Rs 2.7 cr (YoY)

▶️Revenue up 89.8% at Rs 105.2 cr Vs Rs 55.4 cr (YoY)",KABRAEXTRU,Kabra Extrusion Technik Limited,Engineering - Heavy,Engineering - Heavy,EQ,06-Sep-95,5,1,INE900B01029,5,0.0,0.097,0.903,0.4404,356.7000122,369.0,321.2999878,358.7000122,356.1184998,154507,429.4099976,444.7300049,421.5699951,428.0700073,424.9892578,184420.8,bearish
5002,5002,5002,8014,27-12-2022,"#JustIn | Central Bank Of India Board gives in-principle nod to acquire remaining 35.60% stake from the existing shareholders in Central Bank Home Finance

#CentralBank #CBHFL",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.0,0.0,1.0,0.0,178.3999939,178.5,176.5,177.6000061,177.6000061,20811376,213.2999969,216.7899963,207.6799988,212.3100037,212.3100037,30220029.6,bullish
789,789,789,1384,04-04-2022,"MoS Finance In Parliament | Paytm Payments Bank yet to appoint IT audit firm

Alert: RBI asked for IT system audit of Paytm Payments Bank

#paytmpaymentsbank",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.0,0.084,0.916,0.296,116.1999969,117.0,114.5,116.0999985,112.7063065,29356607,134.9799988,137.4399994,133.5300003,136.2399994,132.2575989,53585077.8,bearish
