,sno,DATE,HEADLINE,TICKER,COMPANY NAME,SECTOR,SUBSECTOR,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
358,722,2022-03-14,"Deepak Nitrite in focus after China announces lockdown in Jilin Province 
Alert: Jilin Province is one of the major producers of Phenol",DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Chemicals,EQ,17-JAN-2003,10,1,INE501A01019,10
359,724,2022-03-14,"#NSECase Update | CBI Special Court remands Chitra Ramkrishna to judicial custody for 14 days 

#nsescam",RKFORGE,Ramkrishna Forgings Limited,,,EQ,05-MAY-2004,2,1,INE399G01023,2
360,725,2022-03-14,"#NSECase Update | Chitra Ramkrishna moves 450-page bail application, seeks release. Special CBI court asks Chitra to reconsider, says may be early to file for bail

#NSEScam",RKFORGE,Ramkrishna Forgings Limited,,,EQ,05-MAY-2004,2,1,INE399G01023,2
361,727,2022-03-14, Former NSE chief Chitra Ramkrishna sent to jail for 14 days by CBI,RKFORGE,Ramkrishna Forgings Limited,,,EQ,05-MAY-2004,2,1,INE399G01023,2
362,728,2022-03-14,State-owned BHEL has dispatched its 42nd nuclear steam generator to NPCIL for installation at a 700 MWe unit in Rajasthan Atomic Power Project. The steam generator was flagged off from BHEL's Trichy plant in the presence of senior officials of BHEL and NPCIL.,ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
363,730,2022-03-14,"Oil Min In Parliament: Geopolitical situation has resulted in steep increase in global #crudeoil prices

Closely monitoring global #oil market & potential energy supply disruptions 

Govt ready to take all appropriate action, as deemed fit",OIL,Oil India Limited,Oil Drilling,Oil Drilling,EQ,30-SEP-2009,10,1,INE274J01014,10
364,732,2022-03-14,RBI punished Paytm Payments Bank for data leaks to Chinese firms: Report,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
365,734,2022-03-14,"#MarketAtClose |  Chemical Stocks Move Higher As China Locks Down One Of Major Producing Cities

Jubilant Food Slumps Over 12% On CEO’s Resignation, Stock At A 15-mth Low

AU Small Fin Bank Amongst Top Midcap Losers With A Fall Of Over 6%",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
366,735,2022-03-14,"3 more companies got SEBI approval for IPO 1. LlC of India

 2. Rainbow Children's Medicare

 3. eMudhra",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
367,741,2022-03-14,Reliance Industries acquires all assets of Lithium Werks for $61 million,RCOM,Reliance Communications Limited,Shipping,Shipping,BE,06-MAR-2006,5,1,INE330H01018,5
368,743,2022-03-14,"PVR clarification to the stock exchanges on reports of PVR-Cinepolis merger: ""Company keeps evaluating organic & inorganic opportunities...

The company, as a policy, does not comment on speculative news appearing in the media.""",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
369,745,2022-03-15,"Sameer Gehlaut has resigned from the Non-Executive Director post of Indiabulls Housing Finance

Outgoing promoters holdings' of the co will be reclassified as public category & outgoing promoters' will not have any control over the company",HDFC,Housing Development Finance Corporation Limited,Finance,Finance,EQ,23-OCT-1996,2,1,INE001A01036,2
370,747,2022-03-15,"#RussiaUkraine Geopolitical Developments

- Russian & Ukrainian delegations held their 4th round of negotiations via video

- The Financial Times reported that the talks left a fragile path to diplomacy still on the table

(1/n)",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
371,750,2022-03-15,"#RussiaUkraine Geopolitical Developments

- Later, headlines highlighted that Russia’s Dy Prime Minister said he signed off on grain-export ban

- Looking ahead, European economy & finance ministers will meet Tuesday to discuss eco & fin consequences of sanctions on Russia

(4/4)",PFOCUS,Prime Focus Limited,Finance - Investments,Finance - Investments,EQ,20-JUN-2006,1,1,INE367G01038,1
372,752,2022-03-15,"Godrej Properties expands its residential portfolio in NCR, buys 50-acre land in Sonipat",GODREJCP,Godrej Consumer Products Limited,FMCG,FMCG,EQ,20-JUN-2001,1,1,INE102D01028,1
373,753,2022-03-15,"Indiabulls Housing Fin | Sameer Gehlaut resigns as Non-executive Director effective March 14, requests his hldgs to classified as public from promoter. Co to consider Gehlaut’s request for classification of his hldg as ‘public’ today. Gagan Banga will remain CEO of the company",HDFC,Housing Development Finance Corporation Limited,Finance,Finance,EQ,23-OCT-1996,2,1,INE001A01036,2
374,754,2022-03-15,"Polyplex 6% up
Happiest mind 6% up
Bandhan bank 7% up
Ruchi soya 12% up",POLYPLEX,Polyplex Corporation Limited,Packaging,Packaging,EQ,11-APR-2003,10,1,INE633B01018,10
375,755,2022-03-15,Maharashtra Registrar Of Companies approves Ruchi Soya’s FPO RHP: Sources,MAHSCOOTER,Maharashtra Scooters Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,08-FEB-1995,10,1,INE288A01013,10
376,756,2022-03-15,"Stocks like Bajaj Finance, Bandhan Bank are in focus after RBI's norms on MFI loans",BAJAJ-AUTO,Bajaj Auto Limited,Sugar,Sugar,EQ,26-MAY-2008,10,1,INE917I01010,10
377,758,2022-03-15,"Sobha expects demand to get accelerated hereon. Company currently has the highest sales in the ticket size between ₹1 cr-2 cr. It says, inflation will hit margin of some of the cos who have pre-sold at lower prices",SOBHA,Sobha Limited,Construction & Contracting - Real Estate,Construction & Contracting - Real Estate,EQ,20-DEC-2006,10,1,INE671H01015,10
378,759,2022-03-15,"Deepak Nitrite in focus
Company says one of the China's provinces that has shutdown has high consumption and production of phenol",DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Chemicals,EQ,17-JAN-2003,10,1,INE501A01019,10
379,760,2022-03-15,"Deepak Nitrite says demand is strong across the board, price rise leaves customers unsure. Also, one of the China’s provinces that has shutdown has high consumption and production of phenol",DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Chemicals,EQ,17-JAN-2003,10,1,INE501A01019,10
380,761,2022-03-15,Blue Star launches a comprehensive range of affordable ACs in line with its mass premium positioning; eyes significant market share gains,BLUECOAST,Blue Coast Hotels Limited,Paper,Paper,BE,16-FEB-2000,10,1,INE472B01011,10
381,762,2022-03-15,Housing finance companies move higher as real estate companies say demand remains strong,HDFC,Housing Development Finance Corporation Limited,Finance,Finance,EQ,23-OCT-1996,2,1,INE001A01036,2
382,763,2022-03-15,"Granules India says US Arm gets establishment inspection report from @US_FDA for inspection done from Jan 24-28, 2022. Company says there were three minor observations during the inspection and gpi had addressed the observations in the stipulated time period",GRANULES,Granules India Limited,Pharmaceuticals,Pharmaceuticals,EQ,20-JUN-2005,1,1,INE101D01020,1
383,764,2022-03-15,"L&T Construction bags contracts in the range of ₹1,000-2,500 cr for its Power Transmission and Distribution Business",L&TFH,L&T Finance Holdings Limited,Finance,Finance,EQ,12-AUG-2011,10,1,INE498L01015,10
384,765,2022-03-15,"Dixon Tech rises 4% from day's low, now at high point",TECHM,Tech Mahindra Limited,Computers,Computers,EQ,28-AUG-2006,5,1,INE669C01036,5
385,768,2022-03-15,India govt plans $3.3 billion sovereign green bond issuance,IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
386,770,2022-03-15,"Welspun to invest ₹1,500 cr on warehousing parks in Haryana",WELCORP,Welspun Corp Limited,Finance - Investments,Finance - Investments,EQ,24-MAY-2005,5,1,INE191B01025,5
387,772,2022-03-15,RBI letter to Paytm Bank does not talk about data access: Vijay Shekhar Sharma,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
388,773,2022-03-15,Sebi slaps fine on Future Group for disclosure lapses in Amazon arbitration case,FCONSUMER,Future Consumer Limited,Transport & Logistics,Transport & Logistics,BE,04-JUL-2013,6,1,INE220J01025,6
389,775,2022-03-15,"Oil prices cool some more, Brent at $102/barrel",OIL,Oil India Limited,Oil Drilling,Oil Drilling,EQ,30-SEP-2009,10,1,INE274J01014,10
390,776,2022-03-15,ICICI Bank launches co-branded credit cards with Emirates Skywards,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
391,777,2022-03-15,Godrej Properties to sell plots in Delhi-NCR area.,GODREJCP,Godrej Consumer Products Limited,FMCG,FMCG,EQ,20-JUN-2001,1,1,INE102D01028,1
392,779,2022-03-15,"Days after billionaire Mukesh Ambani-led group took some of the stores of Future Group, whose lease had expired due to the non-payment of rent, Amazon.com Inc on Tuesday accused the two of 'fraud' and said such 'contumacious' transfer will be liable to legal action.",FCONSUMER,Future Consumer Limited,Transport & Logistics,Transport & Logistics,BE,04-JUL-2013,6,1,INE220J01025,6
393,780,2022-03-15,Ramkrishna Forgings has won an order worth Rs 750 million per annum from India's largest OEM in the MHCV segments.,RKFORGE,Ramkrishna Forgings Limited,,,EQ,05-MAY-2004,2,1,INE399G01023,2
394,783,2022-03-15,"Softbank Vision Fund in talks with Tata, Mahindra for potential investment: CEO 

#Softbank #Tata #Mahindra",M&M,Mahindra & Mahindra Limited,Auto,Auto,EQ,03-JAN-1996,5,1,INE101A01026,5
395,785,2022-03-15,"Global markets remain under pressure. European indices down up to 2%. Dow Fut extends losses, down more than 200 points (slips over 300 points from highs)",GLOBALVECT,Global Vectra Helicorp Limited,Misc,Misc,EQ,27-OCT-2006,10,1,INE792H01019,10
396,787,2022-03-15,"Bank of India, the lead banker to Kishore Biyani’s Future Retail, issues a public notice on behalf of the consortium lenders, claiming charge over the co’s assets

Sources tell @_ritusingh  that lenders are also set to take legal action in this case",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
397,789,2022-03-15,"#JustIn | @SamsungIndia forays into the laptop market, launches range of ultra-thin, convertible laptops priced between Rs 40,000-1.2 lakh.

The co will allow pre-bookings in March, deliveries to begin in April",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
398,791,2022-03-15,"Max Healthcare Institute: Ananya Tripathi resigns as Non-Executive, Non-Independent Director

Gaurav Trehan appointed Additional Director (Non-Executive)",HCG,Healthcare Global Enterprises Limited,,,EQ,30-MAR-2016,10,1,INE075I01017,10
399,792,2022-03-15,"pnbindia reports a fraud of Rs 2,060 cr in NPA account of IL&FS Tamil Nadu Power Co. The bank has further said it has provided for Rs 824.1 cr w.r.t this development",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
400,794,2022-03-15,"From Reuters | #Russia imposes sanctions on US President Joe Biden and US Secretary Of State Blinken: Foreign Ministry

#UkraineUnderAttack #RussiaUkraineWar",SBIN,State Bank of India,Banks - PSU,Banks - PSU,EQ,01-MAR-1995,1,1,INE062A01020,1
401,795,2022-03-15,"Future Retail: Rahul Garg resigns as Non-Executive, Non-Independent director of the company",FCONSUMER,Future Consumer Limited,Transport & Logistics,Transport & Logistics,BE,04-JUL-2013,6,1,INE220J01025,6
402,798,2022-03-16,"#UkraineRussianWar Developments

– EU Co President Michel Tweeted: “Stressed to President @KremlinRussia_E the urgent need to stop Russia’s fratricidal war against #Ukraine The #EU is united in condemning Russia's aggression, responding with powerful sanctions..""

(2/5)",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
403,799,2022-03-16,"#UkraineRussianWar Developments

– WSJ reported that “Saudi Arabia Considers Accepting Yuan Instead of Dollars for Chinese Oil Sales.” The report does not clarify any timing.

(3/5)",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
404,801,2022-03-16,"#UkraineRussianWar Developments

– EU & UK formally okayed another round of sanctions on Russia.

– Confirmed - Biden will join NATO at its Summit on March-24.

- Wednesday will see Zelenskiy’s speech in front of the US Congress at 13:00 GMT.

(5/5)",SUMMITSEC,Summit Securities Limited,Finance - Investments,Finance - Investments,EQ,28-JAN-2011,10,1,INE519C01017,10
405,802,2022-03-16,"From AFP: North Korea fired a ""projectile""  but the launch appears to have immediately failed",NECCLTD,North Eastern Carrying Corporation Limited,Misc,Misc,EQ,02-MAR-2016,10,1,INE553C01016,10
406,803,2022-03-16,"#RussiaUkraineCrisis |
▶️US State Department sanctions 11 Russian defence officials 
▶️Sanctions imposed on Russian Deputy Ministers of Defence, DG of Rosoboronexport & Commander in Chief of National Guard troops",NATIONALUM,National Aluminium Company Limited,Aluminium,Aluminium,EQ,28-APR-1999,5,1,INE139A01034,5
407,804,2022-03-16,"#CNBCTV18Market | Hang Seng Index up over 2%, Hang Seng Tech Index surges 6%",TECHM,Tech Mahindra Limited,Computers,Computers,EQ,28-AUG-2006,5,1,INE669C01036,5
408,805,2022-03-16,"Wockhardt says National Institutes of Health (NIH), US to conduct human Phase 1 trial of its novel once-a-day MDR Gram-negative antibiotic WCK 6777",NATIONALUM,National Aluminium Company Limited,Aluminium,Aluminium,EQ,28-APR-1999,5,1,INE139A01034,5
409,808,2022-03-16,"Wockhardt says National Institutes of Health (NIH), US to conduct human Phase 1 trial of its novel once-a-day MDR Gram-negative antibiotic WCK 6777",NATIONALUM,National Aluminium Company Limited,Aluminium,Aluminium,EQ,28-APR-1999,5,1,INE139A01034,5
410,809,2022-03-16,"From ANI: India not violating sanctions, but Russian oil deal could place New Delhi on 'wrong side of history': US

#RusiaUkraineCrisis",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
411,810,2022-03-16,#NewListing | Eureka Forbes lists at Rs 470.25/sh on BSE,BSE,BSE Limited,,,EQ,03-FEB-2017,2,1,INE118H01025,2
412,811,2022-03-16,"Unichem Lab gets @US_FDA approval for Nebivolol Tablets, used for treatment for hypertension",UNICHEMLAB,Unichem Laboratories Limited,Pharmaceuticals,Pharmaceuticals,EQ,07-FEB-2001,2,1,INE351A01035,2
413,812,2022-03-16,SGX Selects @TCS as a strategic partner for its NSE IFSC-SGX Connect in Gift City,CUB,City Union Bank Limited,Miscellaneous,Miscellaneous,EQ,25-AUG-1998,1,1,INE491A01021,1
414,813,2022-03-16,Torrent Power to acquire 51% stake in Dadra and Nagar Haveli and Daman and Diu Power Distribution Corporation,PFC,Power Finance Corporation Limited,Finance,Finance,EQ,23-FEB-2007,10,1,INE134E01011,10
415,816,2022-03-16,"India is buying 3 million barrels of Russian crude oil as per contract signed before the #RussiaUkraine war began. Also, the contract will be on delivered pricing rather than free-on-board basis: Sources",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
416,819,2022-03-16,IL&FS completes transfer of Sikar Bikaner Highways to InvIT for ₹375.5 cr,IL&FSENGG,IL&FS Engineering and Construction Company Limited,Construction,Construction,BZ,25-OCT-2007,10,1,INE369I01014,10
417,822,2022-03-16,"NBCC bags orders of ₹104.4 cr in Feb, lowest monthly orders in at least a year",NBCC,NBCC (India) Limited,Construction,Construction,EQ,12-APR-2012,1,1,INE095N01031,1
418,826,2022-03-16,"Sources tell that Bharti Enterprises may sell its entire stake in @ICICILombard via block deal next week; transaction likely to be valued at 2,200 cr",BHARTIARTL,Bharti Airtel Limited,Telecommunications - Service,Telecommunications - Service,EQ,15-FEB-2002,5,1,INE397D01024,5
419,827,2022-03-16,"Bharti Enterprises says don't comment on any market speculation. 

@ICICILombard is yet to respond to CNBC-TV18's",BHARTIARTL,Bharti Airtel Limited,Telecommunications - Service,Telecommunications - Service,EQ,15-FEB-2002,5,1,INE397D01024,5
420,829,2022-03-16,"India closing in on deal with Russia to buy crude oil at ‘deep discounts’ 

#India #Russia #CrudeOil",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
421,835,2022-03-16,"NLC India signs power purchase agmt with TALABIRA, to procure 1,500 MW power",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
422,836,2022-03-16,"#MarketAtClose | India Volatility Index (India VIX) slips 10%, biggest single-day fall in a month",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
423,840,2022-03-16,"Adani Power completes the acquisition of 100% stake & mgmt control of EPMPL (EPMPL Is Essar Power M P Limited).

The cost of acquisition of EPMPL is over Rs 4,250 cr for a 1,200 MW power plant",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
424,843,2022-03-16,"Mahindra & Mahindra will buy a majority stake in its precision agriculture technology provider Carnot Technologies for Rs 14 cr.

Carnot Technologies is an associate company of M&M.",M&M,Mahindra & Mahindra Limited,Auto,Auto,EQ,03-JAN-1996,5,1,INE101A01026,5
425,844,2022-03-16,PNC Infratech receives Rs 82.68 cr as bonus from Uttar Pradesh Expressways Industrial Development Authority for early completion of its project,IITL,Industrial Investment Trust Limited,Finance,Finance,EQ,17-AUG-2010,10,1,INE886A01014,10
426,846,2022-03-16,"This seems to be a big shift from #China  !

China Vice Premier made a speech & China/HK stocks surged.

His comments,

1) Internet platforms - Efforts to 'rectify' these cos should end soon

2) Regulation - Must be predictable for platform cos to improve competitiveness

(1/3)",PREMEXPLN,Premier Explosives Limited,Plastics,Plastics,EQ,17-JUN-2016,10,1,INE863B01011,10
427,849,2022-03-16,#JustIn | BBB recommends Swaroop Kumar Saha for the position of MD & CEO in Punjab & Sind Bank,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
428,850,2022-03-16,"Oil India subsidiary to invest Rs 6,555 Cr for Numaligarh (Assam) petrochemical project",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
429,851,2022-03-17,"Godrej Properties says have achieved sales of ₹1,650 cr within a year of launch of Godrej Woods in Noida. Company adds, this is the highest ever sales achieved by any Godrej Properties project within a year of its
launch",GODREJCP,Godrej Consumer Products Limited,FMCG,FMCG,EQ,20-JUN-2001,1,1,INE102D01028,1
430,853,2022-03-17,"*WHAT HAPPENED OVERNIGHT*

- S&P-500 +2.24%, Nasdaq +3.77%

- The immediate post FOMC market reaction - broad USD gains + sharply higher yields, reversed into close

- UST 5y yield +8 bps to 2.18%, 10y yield +4 bps to 2.18%

- Brent oil -1.9% to $98.06/bbl",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
431,855,2022-03-17,PTC Fin is expected to realise overdues from Danu Wind Parks as AP HC has directed DISCOM to clear dues as per PPA rate. Co had sanctioned total term debt of Rs 286 cr,PFS,PTC India Financial Services Limited,,,EQ,30-MAR-2011,10,1,INE560K01014,10
432,857,2022-03-17,"Holi is looking very strong for the co, pricing is up by 30%, Average Ticket Price Is ₹1,000, Says Wonderla Holidays. Co is hoping to increase average room rate on rooms by 5% in next FY",WONDERLA,Wonderla Holidays Limited,Miscellaneous,Miscellaneous,EQ,09-MAY-2014,10,1,INE066O01014,10
433,858,2022-03-17,"#JustIn | Indian oil to invest Rs 7,282 cr for development of city gas distribution network in 9 areas",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
434,859,2022-03-17,"Hindustan Construction Company JV bags order of ₹609 cr from Public Health Engineering Department, Govt of Rajasthan",HCC,Hindustan Construction Company Limited,Construction,Construction,EQ,01-APR-2003,1,1,INE549A01026,1
435,860,2022-03-17,"#StocksInNews | TCS gets multi-year contract from Australian government's Western Power

@TCS #StockMarket #TCS",PFC,Power Finance Corporation Limited,Finance,Finance,EQ,23-FEB-2007,10,1,INE134E01011,10
436,864,2022-03-17,"Ola Electric, Reliance to get incentives under $2.4 bn battery scheme: Report ",RCOM,Reliance Communications Limited,Shipping,Shipping,BE,06-MAR-2006,5,1,INE330H01018,5
437,865,2022-03-17,"#MarketAtClose | Nifty bank gains 680 points to 36,429 & midcap index 393 points to 28,978

Financials (HDFC, HDFC Bank, Kotak Bank & ICICI) along with RIL lead market

IT stocks see a sharp fall in the last hour of trade, Nifty IT 1% off highs",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
438,867,2022-03-17,Bank of England hikes bank rate by 25 bps to 0.75%,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
439,868,2022-03-17,HDFC to buy 7.2% stake in Loyalie IT-solutions at Rs 28.16/sh,HDFCBANK,HDFC Bank Limited,Banks - Private,Banks - Private,EQ,08-NOV-1995,1,1,INE040A01034,1
440,871,2022-03-17,"Reliance New Energy Solar, Mahindra & Mahindra, L&T, Ola Electric, Hyundai Global Motors, Lucas-TVS, Amara Raja Batteries, Exide Industries, Rajesh Exports, and India Power Corp had submitted bids for #ACC PLI scheme

#AdvancedChemistryCell",AMARAJABAT,Amara Raja Batteries Limited,Auto Ancillaries,Auto Ancillaries,EQ,05-SEP-2003,1,1,INE885A01032,1
441,872,2022-03-17,"RBL Bank: RBI approved the extension of the term of Rajeev Ahuja, #interim Managing Director & CEO of the Bank by 3 months or #till a regular MD & CEO is appointed",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
442,873,2022-03-17,Dhanlaxmi Bank board approves rights issue up to Rs 130 cr,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
443,874,2022-03-17,Torrent Pharma enters into licensing agreement with Medicine Patent Pool to manufacture & commercialise generic version of #Pfizer Oral COVID-19 Treatment,TORNTPHARM,Torrent Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,EQ,25-NOV-2002,5,1,INE685A01028,5
444,875,2022-03-17,Aurobindo Pharma & subsidiaries sign sub-license agreement for a generic version of Pfizer's Covid19 oral treatment #nirmatrelvir with the UN backed Medicines Patent Pool (MPP),AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,Pharmaceuticals,EQ,19-JUL-2000,1,1,INE406A01037,1
445,877,2022-03-18,"Yesterday VANGUARD'S BUYING WORTH ₹ 2697 CR IN 19 STOCKS

ANGEL ONE- RS 248.89 CR
BIRLA CORP.- RS 58.83 CR
BSE - RS 228.5 CR
CAMS - RS 114.23 CR
CENTURY PLY- RS101.07 CR
CHEMPLAST - RS 98.22 CR
GNFC - RS 226.2 CR
GRINDWELL-RS 197.36 CR
KIIMS - RS 56.71 CR
KNR CONS. - RS 64.91 CR
MASTEK - RS 100.19 CR
NIIT - RS 73.88 CR
NUVOCO - RS 68.50 CR
ROUTE MOBILE- RS 78.79 CR
SAREGAMA -RS 64.72 CR
UTI AMC - RS 232.97 CR
VIP IND. - RS 80.85 CR
VARDHMAN TEXT. -122.18 CR
YES BANK - RS 480.46 CR",BSE,BSE Limited,,,EQ,03-FEB-2017,2,1,INE118H01025,2
446,879,2022-03-18,"CBDT Chief JB Mohapatra had told CNBC-TV18 #exclusively earlier today that direct tax collection is Rs 13.63 lakh cr Vs 12.50 lakh cr (RE). 

Corporate tax at Rs 7.19 lakh cr Vs Rs 6.35 lakh cr ( RE)",JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,EQ,29-APR-2003,2,1,INE572A01028,2
447,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
448,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
449,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
450,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
451,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
452,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
453,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
454,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
455,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
456,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
457,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
458,882,2022-03-18,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-JUL-1998,2,1,INE155A01022,2
459,884,2022-03-18,"TVS Motors Board Approves 3.75 /Share As Interim Dividend, Record Date On 28 March",TVSELECT,TVS Electronics Limited,Tyres,Tyres,EQ,26-DEC-2003,10,1,INE236G01019,10
460,886,2022-03-18,U.S Major Fund VANGUARD Bought Rs 2697 Cr Worth Shares In 19 Indian stocks,IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
461,890,2022-03-19,"#TATA ELXSI : Tata Elxsi has unveiled TEngage, a digital health platform designed for  omnichannel care at the HIMSS 2022 Global Health Conference & Exhibition in Orlando, Florida.",GLOBALVECT,Global Vectra Helicorp Limited,Misc,Misc,EQ,27-OCT-2006,10,1,INE792H01019,10
462,891,2022-03-19,"The US may show understanding of #India's plans to buy discounted oil for economic reasons from #Russia, US President #JoeBiden's spokesperson #JenPsaki has indicated.

@POTUS @PressSec",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
463,892,2022-03-19,"14th India-Japan summit: Prime Minister Narendra Modi and his Japanese counterpart Fumio Kishida will hold talks on Saturday

#India #Japan",PFOCUS,Prime Focus Limited,Finance - Investments,Finance - Investments,EQ,20-JUN-2006,1,1,INE367G01038,1
